name,ring,quadrant,isNew,description
Python,adopt,languages & frameworks,FALSE,""
C#,adopt,languages & frameworks,FALSE,""
Golang,hold,languages & frameworks,FALSE,""
JavaScript,adopt,languages & frameworks,FALSE,""
TypeScript,adopt,languages & frameworks,FALSE,""
React,adopt,languages & frameworks,FALSE,""
Vue,adopt,languages & frameworks,FALSE,""
Java,adopt,languages & frameworks,FALSE,""
Kotlin,adopt,languages & frameworks,FALSE,""
Swift,adopt,languages & frameworks,FALSE,""
Keras,adopt,languages & frameworks,FALSE,""
Tensorflow,adopt,languages & frameworks,FALSE,""
Playwright,adopt,languages & frameworks,FALSE,""
Locust,adopt,languages & frameworks,FALSE,""

Yandex Cloud,adopt,platforms,FALSE,""
VK Cloud,hold,platforms,FALSE,""

OpenCV,adopt,tools,FALSE,""
Sklearn,adopt,tools,FALSE,""
Numpy,adopt,tools,FALSE,""
Pandas,adopt,tools,FALSE,""
PostgreSQL,adopt,tools,FALSE,""
RabbitMQ,adopt,tools,FALSE,""
Kafka,adopt,tools,FALSE,""
Redis,adopt,tools,FALSE,""
MongoDB,hold,tools,FALSE,""
Airflow,adopt,tools,FALSE,""
ClearML,adopt,tools,FALSE,""
DVH,adopt,tools,FALSE,""
CVAT,adopt,tools,FALSE,""
Docker,adopt,tools,FALSE,""
Kubernetes,adopt,tools,FALSE,""
helm,adopt,tools,FALSE,""
helmfile,adopt,tools,FALSE,""
prometheus,adopt,tools,FALSE,""
Grafana,adopt,tools,FALSE,""
Loki,adopt,tools,FALSE,""
Postman,adopt,tools,FALSE,""
Gitlab,adopt,tools,FALSE,""
Webpack,adopt,tools,FALSE,""


CI/CD,adopt,techniques,FALSE,""
TDD,adopt,techniques,FALSE,""
IaC,adopt,techniques,FALSE,""